"Date","SellingPrice","VesselAge","Dwt","Freight"
"2004-01-01",18.5,10,45518,31689
"2004-01-01",5.3,21,54138,31689
"2004-01-01",13.8,22,61615,31689
"2004-01-01",9.8,22,62343,31689
"2004-01-01",11.8,22,63770,31689
"2004-02-01",35,0,55500,39024
"2004-02-01",34.5,1,52500,39024
"2004-02-01",30,5,48913,39024
"2004-02-01",8.8,20,45090,39024
"2004-02-01",13,23,64120,39024
"2004-02-01",10,24,61000,39024
"2004-03-01",35.1,0,50000,39254
"2004-03-01",35,0,55500,39254
"2004-03-01",35,3,50212,39254
"2004-03-01",37,7,56801,39254
"2004-03-01",26.8,8,45674,39254
"2004-03-01",35,8,56801,39254
"2004-03-01",15.5,13,52630,39254
"2004-03-01",15.5,13,52630,39254
"2004-03-01",12,20,45260,39254
"2004-03-01",12,20,45260,39254
"2004-03-01",12.5,22,45575,39254
"2004-03-01",12.5,24,62023,39254
"2004-04-01",33.5,-1,52000,35034
"2004-04-01",41.7,0,55300,35034
"2004-04-01",29.7,7,45782,35034
"2004-04-01",16.8,10,45863,35034
"2004-04-01",15.2,21,47409,35034
"2004-04-01",9.9,23,64071,35034
"2004-05-01",23,9,52370,29831
"2004-05-01",23,13,65000,29831
"2004-05-01",12.5,23,61776,29831
"2004-05-01",8.8,24,62212,29831
"2004-06-01",17,10,45863,21717
"2004-06-01",15,18,51000,21717
"2004-06-01",10,21,61542,21717
"2004-06-01",10,24,58388,21717
"2004-07-01",27,-1,52000,26188
"2004-07-01",30,0,52000,26188
"2004-07-01",28.5,3,50969,26188
"2004-07-01",19,12,46908,26188
"2004-07-01",6.3,27,63987,26188
"2004-08-01",27,-1,52300,27321
"2004-08-01",7.3,27,63987,27321
"2004-09-01",36.3,0,55500,29486
"2004-09-01",36.5,0,56950,29486
"2004-09-01",22.5,10,45262,29486
"2004-09-01",14,15,64982,29486
"2004-09-01",17.6,17,64312,29486
"2004-10-01",33.8,-1,55000,32483
"2004-10-01",36.5,0,55200,32483
"2004-10-01",29.6,5,45690,32483
"2004-11-01",35,-1,48600,34042
"2004-11-01",33.5,2,50992,34042
"2004-11-01",33,3,50209,34042
"2004-11-01",25,7,45269,34042
"2004-11-01",25,8,45300,34042
"2004-11-01",26.5,8,46664,34042
"2004-11-01",22.5,16,52000,34042
"2004-11-01",13.8,20,63671,34042
"2004-11-01",11.5,23,63990,34042
"2004-11-01",11,23,64942,34042
"2004-11-01",8,26,61345,34042
"2004-12-01",33,-1,47000,36736
"2004-12-01",27.9,8,45217,36736
"2004-12-01",23.5,15,64282,36736
"2004-12-01",14.8,21,64166,36736
"2004-12-01",13,22,63560,36736
"2004-12-01",13.7,22,64930,36736
"2005-01-01",40,1,52800,31241
"2005-01-01",40,1,52800,31241
"2005-01-01",34,4,50296,31241
"2005-01-01",34,4,50296,31241
"2005-01-01",34,4,50296,31241
"2005-01-01",34,4,50296,31241
"2005-01-01",28.5,8,45736,31241
"2005-01-01",16,16,52580,31241
"2005-01-01",14.9,20,45116,31241
"2005-01-01",13.4,23,65000,31241
"2005-01-01",12,24,61754,31241
"2005-02-01",43,0,53500,29238
"2005-02-01",41,0,56000,29238
"2005-02-01",32,3,48640,29238
"2005-02-01",38,3,52105,29238
"2005-02-01",38,3,53806,29238
"2005-02-01",32,4,50209,29238
"2005-02-01",32,4,50212,29238
"2005-02-01",29,8,45342,29238
"2005-02-01",30.3,8,46610,29238
"2005-02-01",26,11,45863,29238
"2005-02-01",20.5,18,64201,29238
