"type","engine","fuelcap","horsepow","length","mpg","price","sales","weight","wheelbas","width"
"Automobile",1.8,13.2,140,172.4,28,21.5,16.919,2.639,101.2,67.3
"Automobile",3.2,17.2,225,192.9,25,28.4,39.384,3.517,108.1,70.3
"Automobile",3.2,17.2,225,192,26,32.1,14.114,3.47,106.9,70.6
"Automobile",3.5,18,210,196.6,22,42,8.588,3.85,114.6,71.4
"Automobile",1.8,16.4,150,178,27,23.99,20.397,2.998,102.6,68.2
"Automobile",2.8,18.5,200,192,22,33.95,18.78,3.561,108.7,76.1
"Automobile",4.2,23.7,310,198.2,21,62,1.38,3.902,113,74
"Automobile",2.5,16.6,170,176,26,26.99,19.747,3.179,107.3,68.4
"Automobile",2.8,16.6,193,176,24,33.4,9.231,3.197,107.3,68.5
"Automobile",2.8,18.5,193,188,25,38.9,17.527,3.472,111.4,70.9
"Automobile",3.1,17.5,175,194.6,25,21.975,91.561,3.368,109,72.7
"Automobile",3.8,17.5,240,196.2,23,25.3,39.35,3.543,109,72.7
"Automobile",3.8,18.5,205,206.8,24,31.965,27.851,3.778,113.8,74.7
"Automobile",3.8,17.5,205,200,25,27.885,83.257,3.591,112.2,73.5
"Automobile",4.6,18.5,275,207.2,22,39.895,63.729,3.978,115.3,74.5
"Automobile",4.6,18.5,275,201,22,44.475,15.943,3.845,112.2,75
"Automobile",4.6,19,275,200.6,22,39.665,6.536,3.843,108,75.5
"Automobile",3,18,200,194.8,22,31.01,11.185,3.77,107.4,70.3
"Truck",5.7,30,255,201.2,15,46.225,14.785,5.572,117.5,77
"Automobile",2.2,14.3,115,180.9,27,13.26,145.519,2.676,104.1,67.9
"Automobile",3.1,15,170,190.4,25,16.535,135.126,3.051,107,69.4
"Automobile",3.1,16.6,175,200.9,25,18.89,24.629,3.33,107.5,72.5
"Automobile",3.4,17,180,197.9,27,19.39,42.593,3.34,110.5,72.7
"Automobile",3.8,16.8,200,193.2,25,24.34,26.402,3.5,101.1,74.1
"Automobile",5.7,19.1,345,179.7,22,45.705,17.947,3.21,104.5,73.6
"Automobile",1.8,13.2,120,174.3,33,13.96,32.299,2.398,97.1,66.7
"Automobile",1,10.3,55,149.4,45,9.235,21.855,1.895,93.1,62.6
"Automobile",3.4,17,180,200,27,18.89,107.995,3.389,110.5,73
"Automobile",2.5,15.9,163,190.9,24,19.84,7.854,2.967,103.7,69.7
"Automobile",2.5,16,168,193,24,24.495,32.775,3.332,106,69.2
